html_path,image_path,city,category,article_no,slot_no,source,source_url,hash,alt,figcaption
output/html/bali/꾸따/beach/001.html,../../images/꾸따/beach/꾸따_beach_0028.webp,꾸따,beach,1,0,local,,6e2266f29151,꾸따 자유여행 해변/서핑 모습,꾸따 여행 해변/서핑 기록
output/html/bali/꾸따/beach/001.html,../../images/꾸따/beach/꾸따_beach_0093.webp,꾸따,beach,1,1,local,,f7213dc1b675,꾸따에서 직접 경험한 해변/서핑,꾸따 해변/서핑 현장 사진
output/html/bali/꾸따/beach/001.html,../../images/꾸따/beach/꾸따_beach_0044.webp,꾸따,beach,1,2,local,,330cc8f231f8,꾸따 해변/서핑 분위기,꾸따 여행 중 촬영한 모습
output/html/bali/꾸따/beach/001.html,../../images/mrt_coupon.jpg,꾸따,beach,1,3,local,,adc4f2a4e660,"마이리얼트립 할인쿠폰 - 투어, 티켓, 숙소 최대 30% 할인",꾸따 해변/서핑 추천 장소
output/html/bali/꾸따/beach/001.html,../../images/꾸따/beach/꾸따_beach_0161.webp,꾸따,beach,1,4,local,,db0c78ba7299,꾸따 해변/서핑 포토,꾸따 자유여행 가이드 이미지
output/html/bali/꾸따/beach/001.html,../../images/꾸따/beach/꾸따_beach_0226.webp,꾸따,beach,1,5,local,,a39fb69c6d1e,꾸따 여행 기록 해변/서핑,꾸따 해변/서핑 실제 풍경
output/html/bali/꾸따/beach/001.html,../../images/꾸따/beach/꾸따_beach_0162.webp,꾸따,beach,1,6,local,,4fabd8f786a3,꾸따 해변/서핑 앵글,꾸따에서 직접 경험한 해변/서핑
output/html/bali/꾸따/beach/001.html,../../images/꾸따/beach/꾸따_beach_0129.webp,꾸따,beach,1,7,local,,432fc6c70c0e,꾸따 해변/서핑 탐방기,꾸따 해변/서핑 분위기
output/html/bali/꾸따/beach/001.html,../../images/꾸따/beach/꾸따_beach_0040.webp,꾸따,beach,1,8,local,,019357dda38c,꾸따 해변/서핑 방문 사진,꾸따 여행 해변/서핑 기록
output/html/bali/꾸따/beach/001.html,../../images/꾸따/beach/꾸따_beach_0071.webp,꾸따,beach,1,9,local,,2ff3616b3323,꾸따 해변/서핑 여행 코스,꾸따 해변/서핑 현장 사진
output/html/bali/꾸따/beach/001.html,../../images/꾸따/beach/꾸따_beach_0004.webp,꾸따,beach,1,10,local,,848102678a3d,꾸따 해변/서핑 일정 사진,꾸따 여행 중 촬영한 모습
output/html/bali/꾸따/beach/002.html,../../images/꾸따/beach/꾸따_beach_0068.webp,꾸따,beach,2,0,local,,a54bdbee448a,꾸따 해변/서핑 실제 풍경,꾸따 해변/서핑 분위기
output/html/bali/꾸따/beach/002.html,../../images/꾸따/beach/꾸따_beach_0154.webp,꾸따,beach,2,1,local,,d2ff82fe4b8b,꾸따 해변/서핑 포토,꾸따 여행 해변/서핑 기록
output/html/bali/꾸따/beach/002.html,../../images/꾸따/beach/꾸따_beach_0171.webp,꾸따,beach,2,2,local,,d18c8f11912e,꾸따 여행 기록 해변/서핑,꾸따 해변/서핑 현장 사진
output/html/bali/꾸따/beach/002.html,../../images/mrt_coupon.jpg,꾸따,beach,2,3,local,,adc4f2a4e660,"마이리얼트립 할인쿠폰 - 투어, 티켓, 숙소 최대 30% 할인",꾸따 여행 중 촬영한 모습
output/html/bali/꾸따/beach/002.html,../../images/꾸따/beach/꾸따_beach_0120.webp,꾸따,beach,2,4,local,,ba6f668b5f6e,꾸따 해변/서핑 탐방기,꾸따 해변/서핑 추천 장소
output/html/bali/꾸따/beach/002.html,../../images/꾸따/beach/꾸따_beach_0045.webp,꾸따,beach,2,5,local,,9ec13ea4608b,꾸따 해변/서핑 방문 사진,꾸따 자유여행 가이드 이미지
output/html/bali/꾸따/beach/002.html,../../images/꾸따/beach/꾸따_beach_0043.webp,꾸따,beach,2,6,local,,28a542a613d4,꾸따 해변/서핑 여행 코스,꾸따 해변/서핑 실제 풍경
output/html/bali/꾸따/beach/002.html,../../images/꾸따/beach/꾸따_beach_0021.webp,꾸따,beach,2,7,local,,77921dedd416,꾸따 해변/서핑 일정 사진,꾸따에서 직접 경험한 해변/서핑
output/html/bali/꾸따/beach/002.html,../../images/꾸따/beach/꾸따_beach_0166.webp,꾸따,beach,2,8,local,,02f1d195960b,꾸따 꾸따 비치 풍경,꾸따 해변/서핑 분위기
output/html/bali/꾸따/beach/002.html,../../images/꾸따/beach/꾸따_beach_0002.webp,꾸따,beach,2,9,local,,2871eab19b0b,꾸따 레기안 비치 풍경,꾸따 여행 해변/서핑 기록
output/html/bali/꾸따/beach/002.html,../../images/꾸따/beach/꾸따_beach_0176.webp,꾸따,beach,2,10,local,,2c4abdeecf23,꾸따 울루와뚜 사원 건축물,꾸따 해변/서핑 현장 사진
output/html/bali/꾸따/beach/003.html,../../images/꾸따/beach/꾸따_beach_0035.webp,꾸따,beach,3,0,local,,afb7a7127e53,꾸따 해변/서핑 앵글,꾸따에서 직접 경험한 해변/서핑
output/html/bali/꾸따/beach/003.html,../../images/꾸따/beach/꾸따_beach_0247.webp,꾸따,beach,3,1,local,,2f6c32156751,꾸따 해변/서핑 탐방기,꾸따 해변/서핑 분위기
output/html/bali/꾸따/beach/003.html,../../images/꾸따/beach/꾸따_beach_0070.webp,꾸따,beach,3,2,local,,1b9f14fc2d8a,꾸따 해변/서핑 방문 사진,꾸따 여행 해변/서핑 기록
output/html/bali/꾸따/beach/003.html,../../images/mrt_coupon.jpg,꾸따,beach,3,3,local,,adc4f2a4e660,"마이리얼트립 할인쿠폰 - 투어, 티켓, 숙소 최대 30% 할인",꾸따 해변/서핑 현장 사진
output/html/bali/꾸따/beach/003.html,../../images/꾸따/beach/꾸따_beach_0042.webp,꾸따,beach,3,4,local,,b73e47a0ad47,꾸따 해변/서핑 일정 사진,꾸따 여행 중 촬영한 모습
output/html/bali/꾸따/beach/003.html,../../images/꾸따/beach/꾸따_beach_0125.webp,꾸따,beach,3,5,local,,4e3391c774f1,꾸따 꾸따 비치 풍경,꾸따 해변/서핑 추천 장소
output/html/bali/꾸따/beach/003.html,../../images/꾸따/beach/꾸따_beach_0246.webp,꾸따,beach,3,6,local,,4b0d73a0e500,꾸따 레기안 비치 풍경,꾸따 자유여행 가이드 이미지
output/html/bali/꾸따/beach/003.html,../../images/꾸따/beach/꾸따_beach_0021.webp,꾸따,beach,3,7,local,,77921dedd416,꾸따 울루와뚜 사원 건축물,꾸따 해변/서핑 실제 풍경
output/html/bali/꾸따/beach/003.html,../../images/꾸따/beach/꾸따_beach_0132.webp,꾸따,beach,3,8,local,,80bfc069f2aa,꾸따 Warung Murah 내부,꾸따에서 직접 경험한 해변/서핑
output/html/bali/꾸따/beach/003.html,../../images/꾸따/beach/꾸따_beach_0162.webp,꾸따,beach,3,9,local,,4fabd8f786a3,꾸따 Bamboo Corner 내부,꾸따 해변/서핑 분위기
output/html/bali/꾸따/beach/003.html,../../images/꾸따/beach/꾸따_beach_0074.webp,꾸따,beach,3,10,local,,4ec84b25a022,꾸따 워터밤 전경,꾸따 여행 해변/서핑 기록
output/html/bali/꾸따/beach/004.html,../../images/꾸따/beach/꾸따_beach_0109.webp,꾸따,beach,4,0,local,,4e8085cdd908,꾸따 해변/서핑 여행 코스,꾸따 해변/서핑 실제 풍경
output/html/bali/꾸따/beach/004.html,../../images/꾸따/beach/꾸따_beach_0158.webp,꾸따,beach,4,1,local,,7c1df2e292a1,꾸따 해변/서핑 일정 사진,꾸따에서 직접 경험한 해변/서핑
output/html/bali/꾸따/beach/004.html,../../images/꾸따/beach/꾸따_beach_0009.webp,꾸따,beach,4,2,local,,53dc63fd7372,꾸따 꾸따 비치 풍경,꾸따 해변/서핑 분위기
output/html/bali/꾸따/beach/004.html,../../images/mrt_coupon.jpg,꾸따,beach,4,3,local,,adc4f2a4e660,"마이리얼트립 할인쿠폰 - 투어, 티켓, 숙소 최대 30% 할인",꾸따 여행 해변/서핑 기록
output/html/bali/꾸따/beach/004.html,../../images/꾸따/beach/꾸따_beach_0015.webp,꾸따,beach,4,4,local,,f54c82a03925,꾸따 울루와뚜 사원 건축물,꾸따 해변/서핑 현장 사진
output/html/bali/꾸따/beach/004.html,../../images/꾸따/beach/꾸따_beach_0132.webp,꾸따,beach,4,5,local,,80bfc069f2aa,꾸따 Warung Murah 내부,꾸따 여행 중 촬영한 모습
output/html/bali/꾸따/beach/004.html,../../images/꾸따/beach/꾸따_beach_0235.webp,꾸따,beach,4,6,local,,b7aba0f4f79f,꾸따 Bamboo Corner 내부,꾸따 해변/서핑 추천 장소
output/html/bali/꾸따/beach/004.html,../../images/꾸따/beach/꾸따_beach_0114.webp,꾸따,beach,4,7,local,,954c769be0a3,꾸따 워터밤 전경,꾸따 자유여행 가이드 이미지
output/html/bali/꾸따/beach/004.html,../../images/꾸따/beach/꾸따_beach_0030.webp,꾸따,beach,4,8,local,,797997b7e403,꾸따 꾸따 아트마켓 풍경,꾸따 해변/서핑 실제 풍경
output/html/bali/꾸따/beach/004.html,../../images/꾸따/beach/꾸따_beach_0171.webp,꾸따,beach,4,9,local,,d18c8f11912e,꾸따 비치워크 풍경,꾸따에서 직접 경험한 해변/서핑
output/html/bali/꾸따/beach/004.html,../../images/꾸따/beach/꾸따_beach_0044.webp,꾸따,beach,4,10,local,,330cc8f231f8,꾸따 해변/서핑 현장 사진,꾸따 해변/서핑 분위기
output/html/bali/꾸따/beach/005.html,../../images/꾸따/beach/꾸따_beach_0014.webp,꾸따,beach,5,0,local,,b5bb7b2ce470,꾸따 레기안 비치 풍경,꾸따 자유여행 가이드 이미지
output/html/bali/꾸따/beach/005.html,../../images/꾸따/beach/꾸따_beach_0214.webp,꾸따,beach,5,1,local,,32fd990790e2,꾸따 울루와뚜 사원 건축물,꾸따 해변/서핑 실제 풍경
output/html/bali/꾸따/beach/005.html,../../images/꾸따/beach/꾸따_beach_0130.webp,꾸따,beach,5,2,local,,2600a51b2cd0,꾸따 Warung Murah 내부,꾸따에서 직접 경험한 해변/서핑
output/html/bali/꾸따/beach/005.html,../../images/mrt_coupon.jpg,꾸따,beach,5,3,local,,adc4f2a4e660,"마이리얼트립 할인쿠폰 - 투어, 티켓, 숙소 최대 30% 할인",꾸따 해변/서핑 분위기
output/html/bali/꾸따/beach/005.html,../../images/꾸따/beach/꾸따_beach_0120.webp,꾸따,beach,5,4,local,,ba6f668b5f6e,꾸따 워터밤 전경,꾸따 여행 해변/서핑 기록
output/html/bali/꾸따/beach/005.html,../../images/꾸따/beach/꾸따_beach_0025.webp,꾸따,beach,5,5,local,,d395d7524557,꾸따 꾸따 아트마켓 풍경,꾸따 해변/서핑 현장 사진
output/html/bali/꾸따/beach/005.html,../../images/꾸따/beach/꾸따_beach_0006.webp,꾸따,beach,5,6,local,,89fe1463916e,꾸따 비치워크 풍경,꾸따 여행 중 촬영한 모습
output/html/bali/꾸따/beach/005.html,../../images/꾸따/beach/꾸따_beach_0052.webp,꾸따,beach,5,7,local,,e5fc66941cef,꾸따 해변/서핑 현장 사진,꾸따 해변/서핑 추천 장소
output/html/bali/꾸따/beach/005.html,../../images/꾸따/beach/꾸따_beach_0074.webp,꾸따,beach,5,8,local,,4ec84b25a022,꾸따 여행 해변/서핑 가이드 이미지,꾸따 자유여행 가이드 이미지
